Generating taxpayers...
============================================================

Generating 38 taxpayers for addis_ababa-tc1...
  ✓ Ethio IT Solutions PLC (CRITICAL, comprehensive)
    annualRevenue: 170000000,
    employees: 35,
    registeredDate: '2010-04-22',
    lastAudit: '2021-08-06',
    complianceHistory: 'Minor filing delays',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-205',
    tin: 'TIN-2305',
    name: 'Sher Ethiopia S.C.',
    sector: 'Agriculture',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 53,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 690000000,
    employees: 83,
    registeredDate: '2015-12-07',
    lastAudit: '2021-02-22',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-206',
    tin: 'TIN-2306',
    name: 'NetSol Ethiopia',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 54,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 712000000,
    employees: 140,
    registeredDate: '2019-03-26',
    lastAudit: '2022-08-31',
    complianceHistory: 'Excise tax review needed',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-207',
    tin: 'TIN-2307',
    name: 'Ethiopian Sugar Corporation',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 96,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 7970000000,
    employees: 1230,
    registeredDate: '2011-11-17',
    lastAudit: '2021-08-14',
    complianceHistory: 'Related party transactions need review',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-208',
    tin: 'TIN-2308',
    name: 'Bethel Medical',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 57,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 459000000,
    employees: 102,
    registeredDate: '2018-05-10',
    lastAudit: '2021-06-22',
    complianceHistory: 'Service tax concerns',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-209',
    tin: 'TIN-2309',
    name: 'Microlink College',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 72,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1136000000,
    employees: 153,
    registeredDate: '2017-06-02',
    lastAudit: '2023-04-30',
    complianceHistory: 'Late filings',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-210',
    tin: 'TIN-2310',
    name: 'Ras Desta Medical',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 90,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 7249000000,
    employees: 1168,
    registeredDate: '2012-05-13',
    lastAudit: '2021-05-16',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-211',
    tin: 'TIN-2311',
    name: 'Nile Petroleum',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 415000000,
    employees: 79,
    registeredDate: '2015-12-09',
    lastAudit: '2023-03-03',
    complianceHistory: 'Minor discrepancies noted',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-212',
    tin: 'TIN-2312',
    name: 'Addis International Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 51,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 647000000,
    employees: 126,
    registeredDate: '2018-08-15',
    lastAudit: '2023-11-08',
    complianceHistory: 'Service tax concerns',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-213',
    tin: 'TIN-2313',
    name: 'Bole Real Estate Co.',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 83,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 889000000,
    employees: 146,
    registeredDate: '2009-09-08',
    lastAudit: '2021-11-28',
    complianceHistory: 'Complex revenue streams',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-214',
    tin: 'TIN-2314',
    name: 'Safaricom Ethiopia',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 68,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 776000000,
    employees: 167,
    registeredDate: '2008-12-15',
    lastAudit: '2023-03-03',
    complianceHistory: 'Late filings',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-215',
    tin: 'TIN-2315',
    name: 'Total Ethiopia',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 84,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1346000000,
    employees: 242,
    registeredDate: '2018-01-23',
    lastAudit: '2021-04-04',
    complianceHistory: 'Compliant',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-216',
    tin: 'TIN-2316',
    name: 'Unity University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 72,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1366000000,
    employees: 180,
    registeredDate: '2017-07-07',
    lastAudit: '2022-09-30',
    complianceHistory: 'Transfer pricing concerns',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-217',
    tin: 'TIN-2317',
    name: 'Rift Valley University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 91,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 4122000000,
    employees: 555,
    registeredDate: '2008-04-29',
    lastAudit: '2023-06-18',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'Kazanchis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-218',
    tin: 'TIN-2318',
    name: 'Berhan Bank PLC',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 66,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 714000000,
    employees: 98,
    registeredDate: '2011-07-27',
    lastAudit: '2021-10-25',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-219',
    tin: 'TIN-2319',
    name: 'Koye Feche Real Estate',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 64,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 733000000,
    employees: 121,
    registeredDate: '2009-01-27',
    lastAudit: '2022-12-17',
    complianceHistory: 'Minor filing delays',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-220',
    tin: 'TIN-2320',
    name: 'Eliana Hotel Co.',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 67,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 409000000,
    employees: 82,
    registeredDate: '2012-06-11',
    lastAudit: '2023-03-25',
    complianceHistory: 'Minor filing delays',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-221',
    tin: 'TIN-2321',
    name: 'Gurd Shola Real Estate',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 59,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 244000000,
    employees: 52,
    registeredDate: '2018-05-15',
    lastAudit: '2021-04-24',
    complianceHistory: 'Related party transactions need review',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-222',
    tin: 'TIN-2322',
    name: 'Aman Import Export',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 65,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 721000000,
    employees: 164,
    registeredDate: '2017-08-04',
    lastAudit: '2023-08-06',
    complianceHistory: 'Complex revenue streams',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-223',
    tin: 'TIN-2323',
    name: 'Flintstone Development',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 52,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 463000000,
    employees: 83,
    registeredDate: '2009-03-31',
    lastAudit: '2021-06-30',
    complianceHistory: 'Excise tax review needed',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-224',
    tin: 'TIN-2324',
    name: 'Anbessa City Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 89,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1382000000,
    employees: 206,
    registeredDate: '2017-01-30',
    lastAudit: '2022-12-08',
    complianceHistory: 'Late filings',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-225',
    tin: 'TIN-2325',
    name: 'Kefeta Trading',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 99,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 7866000000,
    employees: 1136,
    registeredDate: '2012-10-29',
    lastAudit: '2023-03-09',
    complianceHistory: 'Excise tax review needed',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-226',
    tin: 'TIN-2326',
    name: 'Cooperative Bank of Oromia',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 66,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 336000000,
    employees: 46,
    registeredDate: '2020-05-07',
    lastAudit: '2023-01-25',
    complianceHistory: 'Good compliance record',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-227',
    tin: 'TIN-2327',
    name: 'Guji Coffee Export',
    sector: 'Agriculture',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 275000000,
    employees: 71,
    registeredDate: '2008-12-27',
    lastAudit: '2023-04-25',
    complianceHistory: 'Minor filing delays',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-228',
    tin: 'TIN-2328',
    name: 'Ras Desta Medical',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 66,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 372000000,
    employees: 102,
    registeredDate: '2015-03-12',
    lastAudit: '2022-09-11',
    complianceHistory: 'VAT discrepancies',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-229',
    tin: 'TIN-2329',
    name: 'Gurd Shola Real Estate',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 58,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 455000000,
    employees: 95,
    registeredDate: '2012-11-23',
    lastAudit: '2023-06-15',
    complianceHistory: 'Compliant',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-230',
    tin: 'TIN-2330',
    name: 'Rift Valley University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 44,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 52000000,
    employees: 19,
    registeredDate: '2008-08-11',
    lastAudit: '2021-05-05',
    complianceHistory: 'Complex revenue streams',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-231',
    tin: 'TIN-2331',
    name: 'Bambis Supermarket',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 53,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 201000000,
    employees: 64,
    registeredDate: '2014-02-13',
    lastAudit: '2022-03-02',
    complianceHistory: 'Excise tax review needed',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-232',
    tin: 'TIN-2332',
    name: 'Myungsung Medical Center',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 43,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 198000000,
    employees: 46,
    registeredDate: '2019-09-23',
    lastAudit: '2022-04-02',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Piazza, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-233',
    tin: 'TIN-2333',
    name: 'Ethio IT Solutions',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 417000000,
    employees: 68,
    registeredDate: '2017-09-14',
    lastAudit: '2023-11-28',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-234',
    tin: 'TIN-2334',
    name: 'Trans Ethiopia Trading',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 32,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 163000000,
    employees: 58,
    registeredDate: '2014-09-19',
    lastAudit: '2022-04-16',
    complianceHistory: 'Minor filing delays',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-235',
    tin: 'TIN-2335',
    name: 'Global Petroleum',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 41,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 77000000,
    employees: 25,
    registeredDate: '2010-10-17',
    lastAudit: '2021-07-27',
    complianceHistory: 'Good compliance record',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-236',
    tin: 'TIN-2336',
    name: 'Mama Fresh Market S.C.',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 68,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 622000000,
    employees: 128,
    registeredDate: '2019-08-28',
    lastAudit: '2023-08-10',
    complianceHistory: 'Multiple revenue sources',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-237',
    tin: 'TIN-2337',
    name: 'Meri Best Supermarket',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 64,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 400000000,
    employees: 72,
    registeredDate: '2018-12-21',
    lastAudit: '2022-08-10',
    complianceHistory: 'Late filings',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-238',
    tin: 'TIN-2338',
    name: 'Amhara Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 93,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 6173000000,
    employees: 659,
    registeredDate: '2020-12-24',
    lastAudit: '2023-08-11',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'Kality, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-239',
    tin: 'TIN-2339',
    name: 'Gurd Shola Real Estate',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 62,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 296000000,
    employees: 65,
    registeredDate: '2014-08-30',
    lastAudit: '2023-04-06',
    complianceHistory: 'Excise tax review needed',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-240',
    tin: 'TIN-2340',
    name: 'Holland Car',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 56,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 327000000,
    employees: 50,
    registeredDate: '2011-09-14',
    lastAudit: '2021-06-11',
    complianceHistory: 'Export tax verification needed',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc2-241',
    tin: 'TIN-2341',
    name: 'Alpha University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc2',
    region: 'addis_ababa',
    riskScore: 42,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 77000000,
    employees: 27,
    registeredDate: '2012-10-01',
    lastAudit: '2023-05-28',
    complianceHistory: 'Multiple revenue sources',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-300',
    tin: 'TIN-3400',
    name: 'Opal Construction Group',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 57,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 726000000,
    employees: 111,
    registeredDate: '2019-09-21',
    lastAudit: '2023-06-14',
    complianceHistory: 'Transfer pricing concerns',
    address: 'Kazanchis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-301',
    tin: 'TIN-3401',
    name: 'Abay Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 414000000,
    employees: 77,
    registeredDate: '2017-07-26',
    lastAudit: '2022-06-26',
    complianceHistory: 'Related party transactions need review',
    address: 'Meskel Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-302',
    tin: 'TIN-3402',
    name: 'Mama Fresh Market S.C.',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 99,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 8137000000,
    employees: 1298,
    registeredDate: '2012-10-20',
    lastAudit: '2023-09-13',
    complianceHistory: 'Import duty concerns',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-303',
    tin: 'TIN-3403',
    name: 'Sky Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 70,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1914000000,
    employees: 246,
    registeredDate: '2011-07-30',
    lastAudit: '2021-05-24',
    complianceHistory: 'Import duty concerns',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-304',
    tin: 'TIN-3404',
    name: 'Unity University Ltd',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 67,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 488000000,
    employees: 100,
    registeredDate: '2009-05-20',
    lastAudit: '2021-02-26',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-305',
    tin: 'TIN-3405',
    name: 'Samson Trading',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 100,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 6568000000,
    employees: 1102,
    registeredDate: '2013-09-02',
    lastAudit: '2021-02-05',
    complianceHistory: 'VAT discrepancies',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-306',
    tin: 'TIN-3406',
    name: 'Messebo Cement Group',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 81,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1711000000,
    employees: 231,
    registeredDate: '2009-04-02',
    lastAudit: '2023-08-30',
    complianceHistory: 'Multiple late filings',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-307',
    tin: 'TIN-3407',
    name: 'Guna Trading House',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 85,
    riskLevel: 'HIGH',
    suggestedAuditType: 'transfer_pricing',
    annualRevenue: 896000000,
    employees: 142,
    registeredDate: '2011-08-05',
    lastAudit: '2023-02-28',
    complianceHistory: 'Payroll tax issues',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-308',
    tin: 'TIN-3408',
    name: 'Unity University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 63,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 214000000,
    employees: 53,
    registeredDate: '2014-09-16',
    lastAudit: '2022-04-19',
    complianceHistory: 'Multiple revenue sources',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-309',
    tin: 'TIN-3409',
    name: 'Ayat Real Estate',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 53,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 320000000,
    employees: 60,
    registeredDate: '2015-04-25',
    lastAudit: '2021-06-10',
    complianceHistory: 'Compliant',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-310',
    tin: 'TIN-3410',
    name: 'Microlink College',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 68,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 658000000,
    employees: 129,
    registeredDate: '2011-02-15',
    lastAudit: '2023-05-19',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-311',
    tin: 'TIN-3411',
    name: 'Nexus Hotel Group',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 67,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 289000000,
    employees: 41,
    registeredDate: '2018-08-15',
    lastAudit: '2023-02-23',
    complianceHistory: 'Complex revenue streams',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-312',
    tin: 'TIN-3412',
    name: 'Addis Land',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 83,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1508000000,
    employees: 226,
    registeredDate: '2016-04-05',
    lastAudit: '2022-10-17',
    complianceHistory: 'Payroll tax issues',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-313',
    tin: 'TIN-3413',
    name: 'Derba Midroc Cement',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 72,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 800000000,
    employees: 83,
    registeredDate: '2010-04-10',
    lastAudit: '2023-03-13',
    complianceHistory: 'Production volume discrepancies',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-314',
    tin: 'TIN-3414',
    name: 'Saba Engineering S.C.',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 50,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 319000000,
    employees: 56,
    registeredDate: '2011-02-27',
    lastAudit: '2021-07-16',
    complianceHistory: 'VAT discrepancies',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-315',
    tin: 'TIN-3415',
    name: 'Etete Supermarket S.C.',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 39,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 127000000,
    employees: 49,
    registeredDate: '2017-06-28',
    lastAudit: '2022-10-31',
    complianceHistory: 'Compliant',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-316',
    tin: 'TIN-3416',
    name: 'Alpha University',
    sector: 'Education',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 84,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 888000000,
    employees: 144,
    registeredDate: '2018-02-10',
    lastAudit: '2021-08-10',
    complianceHistory: 'Production volume discrepancies',
    address: 'Megenagna, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-317',
    tin: 'TIN-3417',
    name: 'Fresh Corner Supermarket Ltd',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 54,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 534000000,
    employees: 101,
    registeredDate: '2013-03-01',
    lastAudit: '2023-10-12',
    complianceHistory: 'Transfer pricing concerns',
    address: 'Kotebe, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-318',
    tin: 'TIN-3418',
    name: 'ET Highland Flora Ltd',
    sector: 'Agriculture',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 60,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 766000000,
    employees: 129,
    registeredDate: '2019-04-18',
    lastAudit: '2023-08-16',
    complianceHistory: 'Related party transactions need review',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-319',
    tin: 'TIN-3419',
    name: 'Japan Motors Ethiopia',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 93,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 6930000000,
    employees: 964,
    registeredDate: '2012-02-17',
    lastAudit: '2022-03-14',
    complianceHistory: 'Revenue underreporting concerns',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-320',
    tin: 'TIN-3420',
    name: 'Kality Gas S.C.',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 83,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
